iteration,successes,successes_episode,reward_episode,episode_count,random_act,timestep
64,63,0,-163,1,42,22
1,63,0,-100,2,42,23
2,64,0,-101,3,44,23
11,74,0,-110,4,52,26
1,74,0,-100,5,53,26
1,74,0,-100,6,53,27
4,77,0,-103,7,55,29
8,84,0,-107,8,62,30
12,95,0,-111,9,72,32
9,103,0,-108,10,81,32
13,115,0,-112,11,89,37
40,154,0,-139,12,123,43
3,156,0,-102,13,125,44
37,192,0,-136,14,155,51
4,195,0,-103,15,156,54
7,201,0,-106,16,163,54
1,201,0,-100,17,164,54
1,201,0,-100,18,165,54
1,201,0,-100,19,165,55
1,201,0,-100,20,166,55
3,203,0,-102,21,169,55
3,205,0,-102,22,172,55
76,280,0,-175,23,228,75
5,284,0,-104,24,233,75
21,304,0,-120,25,249,80
1,304,0,-100,26,250,80
11,314,0,-110,27,258,83
3,316,0,-102,28,260,84
2,317,0,-101,29,262,84
3,319,0,-102,30,264,85
3,321,0,-102,31,267,85
2,322,0,-101,32,269,85
5,326,0,-104,33,274,85
1,326,0,-100,34,275,85
40,365,0,-139,35,312,88
3,367,0,-102,36,315,88
22,388,0,-121,37,335,90
3,390,0,-102,38,338,90
9,398,0,-108,39,345,92
2,399,0,-101,40,347,92
3,401,0,-102,41,350,92
7,407,0,-106,42,355,94
1,407,0,-100,43,356,94
1,407,0,-100,44,357,94
54,460,0,-153,45,397,108
14,473,0,-113,46,408,111
1,473,0,-100,47,408,112
1,473,0,-100,48,409,112
8,480,0,-107,49,416,113
7,486,0,-106,50,422,114
11,496,0,-110,51,430,117
1,496,0,-100,52,431,117
1,496,0,-100,53,432,117
3,498,0,-102,54,434,118
14,511,0,-113,55,446,120
9,519,0,-108,56,451,124
45,563,0,-144,57,490,130
3,565,0,-102,58,493,130
36,600,0,-135,59,521,138
2,601,0,-101,60,523,138
14,614,0,-113,61,534,141
18,631,0,-117,62,550,143
4,634,0,-103,63,552,145
4,637,0,-103,64,554,147
3,639,0,-102,65,557,147
12,650,0,-111,66,567,149
1,650,0,-100,67,568,149
1,650,0,-100,68,569,149
1,650,0,-100,69,570,149
1,650,0,-100,70,570,150
4,653,0,-103,71,573,151
3,655,0,-102,72,575,152
3,657,0,-102,73,578,152
1,657,0,-100,74,579,152
1,657,0,-100,75,579,153
1,657,0,-100,76,580,153
11,667,0,-110,77,589,155
37,703,0,-136,78,619,162
8,710,0,-107,79,625,164
7,716,0,-106,80,631,165
11,726,0,-110,81,641,166
9,734,0,-108,82,649,167
2,735,0,-101,83,651,167
10,744,0,-109,84,660,168
1,744,0,-100,85,661,168
21,764,0,-120,86,679,171
2,765,0,-101,87,681,171
1,765,0,-100,88,681,172
11,775,0,-110,89,690,174
3,777,0,-102,90,693,174
1,777,0,-100,91,694,174
3,779,0,-102,92,696,175
1,779,0,-100,93,697,175
1,779,0,-100,94,698,175
3,781,0,-102,95,700,176
17,797,0,-116,96,715,178
1,797,0,-100,97,715,179
2,798,0,-101,98,716,180
1,798,0,-100,99,717,180
1,798,0,-100,100,717,181
20,817,0,-119,101,731,187
2,818,0,-101,102,731,189
2,819,0,-101,103,732,190
1,819,0,-100,104,732,191
27,845,0,-126,105,751,199
53,897,0,-152,106,795,208
3,899,0,-102,107,797,209
5,903,0,-104,108,801,210
8,910,0,-107,109,809,210
4,913,0,-103,110,813,210
1,913,0,-100,111,814,210
2,914,0,-101,112,815,211
1,914,0,-100,113,816,211
1,914,0,-100,114,817,211
1,914,0,-100,115,818,211
1,914,0,-100,116,819,211
3,916,0,-102,117,820,213
13,928,0,-112,118,831,215
1,928,0,-100,119,832,215
5,932,0,-104,120,837,215
9,940,0,-108,121,844,217
16,955,0,-115,122,858,219
22,976,0,-121,123,872,227
1,976,0,-100,124,872,228
23,998,0,-122,125,890,233
3,1000,0,-102,126,892,234
1,1000,0,-100,127,893,234
4,1003,0,-103,128,897,234
22,1024,0,-121,129,913,240
1,1024,0,-100,130,914,240
1,1024,0,-100,131,915,240
3,1026,0,-102,132,918,240
1,1026,0,-100,133,919,240
1,1026,0,-100,134,919,241
24,1049,0,-123,135,939,245
1,1049,0,-100,136,940,245
1,1049,0,-100,137,941,245
1,1049,0,-100,138,941,246
6,1054,0,-105,139,946,247
2,1055,0,-101,140,948,247
5,1059,0,-104,141,952,248
39,1097,0,-138,142,984,255
10,1106,0,-109,143,994,255
60,1165,0,-159,144,1043,266
2,1166,0,-101,145,1044,267
10,1175,0,-109,146,1052,269
13,1187,0,-112,147,1064,270
3,1189,0,-102,148,1066,271
1,1189,0,-100,149,1067,271
1,1189,0,-100,150,1068,271
21,1209,0,-120,151,1084,276
1,1209,0,-100,152,1084,277
1,1209,0,-100,153,1084,278
1,1209,0,-100,154,1085,278
2,1210,0,-101,155,1087,278
1,1210,0,-100,156,1088,278
1,1210,0,-100,157,1089,278
1,1210,0,-100,158,1090,278
16,1225,0,-115,159,1101,283
3,1227,0,-102,160,1103,284
10,1236,0,-109,161,1110,287
1,1236,0,-100,162,1111,287
2,1237,0,-101,163,1113,287
1,1237,0,-100,164,1114,287
1,1237,0,-100,165,1114,288
3,1239,0,-102,166,1116,289
1,1239,0,-100,167,1117,289
1,1239,0,-100,168,1118,289
1,1239,0,-100,169,1119,289
31,1269,0,-130,170,1141,298
2,1270,0,-101,171,1143,298
2,1271,0,-101,172,1144,299
4,1274,0,-103,173,1145,302
10,1283,0,-109,174,1153,304
4,1286,0,-103,175,1157,304
12,1297,0,-111,176,1167,306
1,1297,0,-100,177,1168,306
20,1316,0,-119,178,1187,307
1,1316,0,-100,179,1188,307
9,1324,0,-108,180,1195,309
14,1337,0,-113,181,1206,312
1,1337,0,-100,182,1207,312
1,1337,0,-100,183,1207,313
1,1337,0,-100,184,1208,313
40,1376,0,-139,185,1240,321
4,1379,0,-103,186,1244,321
4,1382,0,-103,187,1247,322
20,1401,0,-119,188,1264,325
45,1445,0,-144,189,1301,333
1,1445,0,-100,190,1302,333
28,1472,0,-127,191,1326,337
3,1474,0,-102,192,1328,338
6,1479,0,-105,193,1331,341
1,1479,0,-100,194,1332,341
11,1489,0,-110,195,1343,341
14,1502,0,-113,196,1351,347
2,1503,0,-101,197,1353,347
11,1513,0,-110,198,1363,348
5,1517,0,-104,199,1368,348
1,1517,0,-100,200,1369,348
1,1517,0,-100,201,1370,348
6,1522,0,-105,202,1373,351
4,1525,0,-103,203,1377,351
3,1527,0,-102,204,1380,351
6,1532,0,-105,205,1386,351
14,1545,0,-113,206,1397,354
12,1556,0,-111,207,1407,356
1,1556,0,-100,208,1408,356
1,1556,0,-100,209,1409,356
3,1558,0,-102,210,1411,357
1,1558,0,-100,211,1411,358
3,1560,0,-102,212,1414,358
76,1635,0,-175,213,1476,372
1,1635,0,-100,214,1476,373
10,1644,0,-109,215,1485,374
3,1646,0,-102,216,1487,375
7,1652,0,-106,217,1492,377
1,1652,0,-100,218,1492,378
43,1694,0,-142,219,1528,385
2,1695,0,-101,220,1530,385
1,1695,0,-100,221,1531,385
38,1732,0,-137,222,1563,391
17,1748,0,-116,223,1579,392
10,1757,0,-109,224,1585,396
3,1759,0,-102,225,1588,396
2,1760,0,-101,226,1590,396
9,1768,0,-108,227,1596,399
2,1769,0,-101,228,1597,400
7,1775,0,-106,229,1603,401
3,1777,0,-102,230,1606,401
24,1800,0,-123,231,1624,407
3,1802,0,-102,232,1627,407
1,1802,0,-100,233,1628,407
4,1805,0,-103,234,1630,409
4,1808,0,-103,235,1633,410
4,1811,0,-103,236,1636,411
20,1830,0,-119,237,1652,415
3,1832,0,-102,238,1654,416
8,1839,0,-107,239,1659,419
1,1839,0,-100,240,1660,419
9,1847,0,-108,241,1669,419
4,1850,0,-103,242,1672,420
27,1876,0,-126,243,1694,425
17,1892,0,-116,244,1708,428
5,1896,0,-104,245,1712,429
9,1904,0,-108,246,1718,432
1,1904,0,-100,247,1719,432
1,1904,0,-100,248,1720,432
3,1906,0,-102,249,1723,432
1,1906,0,-100,250,1723,433
6,1911,0,-105,251,1728,434
2,1912,0,-101,252,1729,435
8,1919,0,-107,253,1737,435
1,1919,0,-100,254,1738,435
1,1919,0,-100,255,1739,435
3,1921,0,-102,256,1741,436
2,1922,0,-101,257,1743,436
5,1926,0,-104,258,1746,438
2,1927,0,-101,259,1748,438
8,1934,0,-107,260,1755,439
