iteration,successes,successes_episode,reward_episode,episode_count,random_act,timestep
27,26,0,-126,1,17,10
1,26,0,-100,2,18,10
20,45,0,-119,3,32,16
2,46,0,-101,4,32,18
2,47,0,-101,5,33,19
43,89,0,-142,6,65,30
3,91,0,-102,7,68,30
1,91,0,-100,8,69,30
2,92,0,-101,9,71,30
25,116,0,-124,10,89,37
41,156,0,-140,11,124,43
5,160,0,-104,12,128,44
1,160,0,-100,13,129,44
1,160,0,-100,14,130,44
5,164,0,-104,15,134,45
42,205,0,-141,16,166,55
29,233,0,-128,17,189,61
2,234,0,-101,18,191,61
2,235,0,-101,19,193,61
33,267,0,-132,20,217,70
31,297,0,-130,21,241,77
21,317,0,-120,22,256,83
4,320,0,-103,23,259,84
15,334,0,-114,24,273,85
5,338,0,-104,25,278,85
57,394,0,-156,26,331,89
2,395,0,-101,27,332,90
2,396,0,-101,28,334,90
15,410,0,-114,29,347,92
25,434,0,-124,30,366,98
1,434,0,-100,31,367,98
1,434,0,-100,32,367,99
43,476,0,-142,33,400,109
1,476,0,-100,34,401,109
6,481,0,-105,35,406,110
1,481,0,-100,36,407,110
3,483,0,-102,37,408,112
46,528,0,-145,38,446,120
27,554,0,-126,39,467,126
14,567,0,-113,40,479,128
1,567,0,-100,41,480,128
10,576,0,-109,42,488,130
1,576,0,-100,43,489,130
4,579,0,-103,44,493,130
4,582,0,-103,45,496,131
1,582,0,-100,46,497,131
4,585,0,-103,47,501,131
1,585,0,-100,48,501,132
1,585,0,-100,49,502,132
3,587,0,-102,50,505,132
21,607,0,-120,51,521,137
6,612,0,-105,52,525,139
2,613,0,-101,53,527,139
2,614,0,-101,54,528,140
2,615,0,-101,55,530,140
1,615,0,-100,56,531,140
1,615,0,-100,57,532,140
1,615,0,-100,58,532,141
20,634,0,-119,59,550,143
1,634,0,-100,60,551,143
4,637,0,-103,61,553,145
5,641,0,-104,62,556,147
3,643,0,-102,63,559,147
3,645,0,-102,64,562,147
1,645,0,-100,65,562,148
1,645,0,-100,66,562,149
14,658,0,-113,67,574,151
2,659,0,-101,68,575,152
6,664,0,-105,69,580,153
6,669,0,-105,70,585,154
17,685,0,-116,71,597,159
1,685,0,-100,72,598,159
1,685,0,-100,73,599,159
1,685,0,-100,74,600,159
29,713,0,-128,75,624,164
8,720,0,-107,76,631,165
13,732,0,-112,77,642,167
3,734,0,-102,78,645,167
5,738,0,-104,79,650,167
10,747,0,-109,80,659,168
6,752,0,-105,81,665,168
6,757,0,-105,82,669,170
1,757,0,-100,83,670,170
26,782,0,-125,84,692,174
1,782,0,-100,85,693,174
6,787,0,-105,86,698,175
12,798,0,-111,87,707,178
27,824,0,-126,88,728,184
7,830,0,-106,89,731,188
1,830,0,-100,90,731,189
4,833,0,-103,91,732,192
4,836,0,-103,92,735,193
12,847,0,-111,93,744,196
1,847,0,-100,94,745,196
10,856,0,-109,95,752,199
1,856,0,-100,96,752,200
1,856,0,-100,97,753,200
1,856,0,-100,98,754,200
3,858,0,-102,99,757,200
17,874,0,-116,100,771,203
4,877,0,-103,101,773,205
29,905,0,-128,102,798,209
1,905,0,-100,103,799,209
3,907,0,-102,104,801,210
1,907,0,-100,105,802,210
20,926,0,-119,106,820,212
1,926,0,-100,107,820,213
17,942,0,-116,108,835,215
3,944,0,-102,109,838,215
8,951,0,-107,110,844,217
15,965,0,-114,111,858,218
1,965,0,-100,112,858,219
2,966,0,-101,113,860,219
31,996,0,-130,114,880,230
4,999,0,-103,115,884,230
6,1004,0,-105,116,887,233
4,1007,0,-103,117,891,233
1,1007,0,-100,118,891,234
40,1046,0,-139,119,924,241
1,1046,0,-100,120,925,241
5,1050,0,-104,121,929,242
2,1051,0,-101,122,930,243
21,1071,0,-120,123,947,247
8,1078,0,-107,124,954,248
5,1082,0,-104,125,957,250
1,1082,0,-100,126,958,250
2,1083,0,-101,127,960,250
9,1091,0,-108,128,968,251
29,1119,0,-128,129,993,255
8,1126,0,-107,130,1001,255
2,1127,0,-101,131,1003,255
2,1128,0,-101,132,1004,256
3,1130,0,-102,133,1007,256
28,1157,0,-127,134,1029,262
1,1157,0,-100,135,1029,263
5,1161,0,-104,136,1034,263
24,1184,0,-123,137,1052,269
2,1185,0,-101,138,1053,270
14,1198,0,-113,139,1066,271
4,1201,0,-103,140,1069,272
2,1202,0,-101,141,1071,272
48,1249,0,-147,142,1106,285
15,1263,0,-114,143,1117,289
1,1263,0,-100,144,1118,289
6,1268,0,-105,145,1122,291
1,1268,0,-100,146,1123,291
1,1268,0,-100,147,1124,291
25,1292,0,-124,148,1142,298
3,1294,0,-102,149,1144,299
1,1294,0,-100,150,1145,299
3,1296,0,-102,151,1145,302
7,1302,0,-106,152,1151,303
1,1302,0,-100,153,1151,304
32,1333,0,-131,154,1180,307
6,1338,0,-105,155,1186,307
50,1387,0,-149,156,1225,318
8,1394,0,-107,157,1233,318
1,1394,0,-100,158,1234,318
7,1400,0,-106,159,1238,321
26,1425,0,-125,160,1260,325
1,1425,0,-100,161,1261,325
1,1425,0,-100,162,1262,325
5,1429,0,-104,163,1267,325
1,1429,0,-100,164,1268,325
34,1462,0,-133,165,1295,332
1,1462,0,-100,166,1296,332
3,1464,0,-102,167,1298,333
3,1466,0,-102,168,1301,333
1,1466,0,-100,169,1302,333
3,1468,0,-102,170,1305,333
3,1470,0,-102,171,1308,333
10,1479,0,-109,172,1316,335
3,1481,0,-102,173,1318,336
18,1498,0,-117,174,1331,341
13,1510,0,-112,175,1344,341
3,1512,0,-102,176,1346,342
6,1517,0,-105,177,1349,345
63,1579,0,-162,178,1401,356
8,1586,0,-107,179,1409,356
2,1587,0,-101,180,1410,357
2,1588,0,-101,181,1411,358
15,1602,0,-114,182,1424,360
45,1646,0,-144,183,1460,369
7,1652,0,-106,184,1466,370
4,1655,0,-103,185,1470,370
2,1656,0,-101,186,1471,371
4,1659,0,-103,187,1475,371
1,1659,0,-100,188,1475,372
1,1659,0,-100,189,1476,372
1,1659,0,-100,190,1476,373
1,1659,0,-100,191,1477,373
38,1696,0,-137,192,1505,383
30,1725,0,-129,193,1533,385
24,1748,0,-123,194,1555,387
2,1749,0,-101,195,1555,389
4,1752,0,-103,196,1559,389
11,1762,0,-110,197,1568,391
1,1762,0,-100,198,1568,392
1,1762,0,-100,199,1569,392
45,1806,0,-144,200,1605,401
1,1806,0,-100,201,1606,401
30,1835,0,-129,202,1630,407
1,1835,0,-100,203,1630,408
5,1839,0,-104,204,1633,410
32,1870,0,-131,205,1657,418
1,1870,0,-100,206,1658,418
8,1877,0,-107,207,1665,419
1,1877,0,-100,208,1666,419
4,1880,0,-103,209,1670,419
1,1880,0,-100,210,1671,419
3,1882,0,-102,211,1673,420
2,1883,0,-101,212,1675,420
5,1887,0,-104,213,1679,421
2,1888,0,-101,214,1681,421
3,1890,0,-102,215,1684,421
3,1892,0,-102,216,1686,422
39,1930,0,-138,217,1716,431
5,1934,0,-104,218,1720,432
11,1944,0,-110,219,1729,434
1,1944,0,-100,220,1729,435
21,1964,0,-120,221,1747,438
2,1965,0,-101,222,1749,438
15,1979,0,-114,223,1763,439
1,1979,0,-100,224,1763,440
1,1979,0,-100,225,1763,441
1,1979,0,-100,226,1763,442
6,1984,0,-105,227,1768,443
1,1984,0,-100,228,1768,444
4,1987,0,-103,229,1771,445
10,1996,0,-109,230,1777,449
6,2001,0,-105,231,1780,452
16,2016,0,-115,232,1794,454
1,2016,0,-100,233,1794,455
5,2020,0,-104,234,1797,457
1,2020,0,-100,235,1798,457
2,2021,0,-101,236,1800,457
2,2022,0,-101,237,1801,458
1,2022,0,-100,238,1802,458
6,2027,0,-105,239,1808,458
23,2049,0,-122,240,1825,464
2,2050,0,-101,241,1826,465
1,2050,0,-100,242,1827,465
13,2062,0,-112,243,1837,468
51,2112,0,-150,244,1877,479
20,2131,0,-119,245,1894,482
5,2135,0,-104,246,1899,482
1,2135,0,-100,247,1900,482
1,2135,0,-100,248,1900,483
4,2138,0,-103,249,1902,485
2,2139,0,-101,250,1904,485
1,2139,0,-100,251,1904,486
6,2144,0,-105,252,1909,487
3,2146,0,-102,253,1912,487
12,2157,0,-111,254,1921,490
1,2157,0,-100,255,1922,490
8,2164,0,-107,256,1927,493
56,2219,0,-155,257,1969,507
3,2221,0,-102,258,1972,507
4,2224,0,-103,259,1976,507
3,2226,0,-102,260,1979,507
1,2226,0,-100,261,1980,507
34,2259,0,-133,262,2006,515
42,2300,0,-141,263,2040,523
1,2300,0,-100,264,2040,524
6,2305,0,-105,265,2046,524
2,2306,0,-101,266,2047,525
5,2310,0,-104,267,2051,526
5,2314,0,-104,268,2056,526
19,2332,0,-118,269,2072,529
32,2363,0,-131,270,2093,540
1,2363,0,-100,271,2094,540
45,2407,0,-144,272,2136,543
1,2407,0,-100,273,2137,543
2,2408,0,-101,274,2139,543
3,2410,0,-102,275,2141,544
27,2436,0,-126,276,2164,548
9,2444,0,-108,277,2171,550
1,2444,0,-100,278,2172,550
22,2465,0,-121,279,2188,556
3,2467,0,-102,280,2191,556
2,2468,0,-101,281,2193,556
18,2485,0,-117,282,2208,559
20,2504,0,-119,283,2220,567
42,2545,0,-141,284,2256,573
4,2548,0,-103,285,2259,574
71,2618,0,-170,286,2310,594
19,2636,0,-118,287,2324,599
17,2652,0,-116,288,2336,604
13,2664,0,-112,289,2348,605
6,2669,0,-105,290,2354,605
30,2698,0,-129,291,2381,608
1,2698,0,-100,292,2382,608
3,2700,0,-102,293,2384,609
3,2702,0,-102,294,2386,610
19,2720,0,-118,295,2402,613
16,2735,0,-115,296,2413,618
7,2741,0,-106,297,2419,619
9,2749,0,-108,298,2425,622
1,2749,0,-100,299,2426,622
6,2754,0,-105,300,2431,623
1,2754,0,-100,301,2432,623
6,2759,0,-105,302,2436,625
28,2786,0,-127,303,2460,629
7,2792,0,-106,304,2465,631
2,2793,0,-101,305,2467,631
11,2803,0,-110,306,2475,634
11,2813,0,-110,307,2485,635
32,2844,0,-131,308,2512,640
1,2844,0,-100,309,2513,640
1,2844,0,-100,310,2514,640
20,2863,0,-119,311,2531,643
1,2863,0,-100,312,2532,643
14,2876,0,-113,313,2542,647
1,2876,0,-100,314,2542,648
12,2887,0,-111,315,2552,650
66,2952,0,-165,316,2608,660
1,2952,0,-100,317,2609,660
7,2958,0,-106,318,2614,662
3,2960,0,-102,319,2616,663
4,2963,0,-103,320,2619,664
10,2972,0,-109,321,2626,667
91,3062,0,-190,322,2701,683
5,3066,0,-104,323,2705,684
19,3084,0,-118,324,2717,691
3,3086,0,-102,325,2720,691
6,3091,0,-105,326,2723,694
30,3120,0,-129,327,2745,702
4,3123,0,-103,328,2746,705
2,3124,0,-101,329,2748,705
1,3124,0,-100,330,2749,705
1,3124,0,-100,331,2750,705
3,3126,0,-102,332,2752,706
27,3152,0,-126,333,2770,715
5,3156,0,-104,334,2775,715
37,3192,0,-136,335,2802,725
1,3192,0,-100,336,2803,725
2,3193,0,-101,337,2804,726
2,3194,0,-101,338,2806,726
4,3197,0,-103,339,2809,727
1,3197,0,-100,340,2810,727
4,3200,0,-103,341,2814,727
7,3206,0,-106,342,2819,729
9,3214,0,-108,343,2825,732
13,3226,0,-112,344,2835,735
5,3230,0,-104,345,2840,735
23,3252,0,-122,346,2856,742
3,3254,0,-102,347,2857,744
1,3254,0,-100,348,2858,744
2,3255,0,-101,349,2859,745
24,3278,0,-123,350,2876,752
1,3278,0,-100,351,2877,752
1,3278,0,-100,352,2878,752
2,3279,0,-101,353,2880,752
9,3287,0,-108,354,2887,754
9,3295,0,-108,355,2894,756
1,3295,0,-100,356,2895,756
27,3321,0,-126,357,2917,761
2,3322,0,-101,358,2919,761
35,3356,0,-134,359,2951,764
