iteration,successes,successes_episode,reward_episode,episode_count,random_act,timestep,epsilon
3,2,0,-102,1,3,0,1.0
44,45,0,-143,2,44,3,0.9901493354116764
2,46,0,-101,3,46,3,0.9803966865736877
1,46,0,-100,4,47,3,0.970741078213023
23,68,0,-122,5,69,4,0.9611815447608
18,85,0,-117,6,86,5,0.9517171302557069
5,89,0,-104,7,91,5,0.9423468882484062
2,90,0,-101,8,93,5,0.9330698817068888
2,91,0,-101,9,95,5,0.9238851829227694
27,117,0,-126,10,117,10,0.9147918734185159
3,119,0,-102,11,120,10,0.9057890438555999
3,121,0,-102,12,123,10,0.896875793943563
31,151,0,-130,13,148,16,0.888051232349986
2,152,0,-101,14,150,16,0.8793144766113556
22,173,0,-121,15,169,19,0.8706646530448178
1,173,0,-100,16,170,19,0.8621008966608072
4,176,0,-103,17,173,20,0.8536223510765493
2,177,0,-101,18,174,21,0.8452281684304199
16,192,0,-115,19,187,24,0.8369175092971592
24,215,0,-123,20,206,29,0.8286895426039287
2,216,0,-101,21,208,29,0.820543445547202
5,220,0,-104,22,211,31,0.8124784035104852
1,220,0,-100,23,212,31,0.8044936099828537
6,225,0,-105,24,215,34,0.7965882664783007
12,236,0,-111,25,223,38,0.7887615824558879
1,236,0,-100,26,224,38,0.7810127752406908
13,248,0,-112,27,235,40,0.7733410699455306
13,260,0,-112,28,247,41,0.7657456993934846
32,291,0,-131,29,275,45,0.7582259040411682
1,291,0,-100,30,276,45,0.7507809319027796
4,294,0,-103,31,279,46,0.7434100384749007
31,324,0,-130,32,305,51,0.7361124866620463
3,326,0,-102,33,307,52,0.7288875467029541
21,346,0,-120,34,321,59,0.7217344960976069
9,354,0,-108,35,327,62,0.7146526195349836
1,354,0,-100,36,328,62,0.7076412088215263
76,429,0,-175,37,384,82,0.7006995628103208
82,511,1,-82,38,433,115,0.6938269873309811
15,525,1,-114,39,441,122,0.6870227951202322
1,525,1,-100,40,442,122,0.680286305753183
6,530,1,-105,41,448,122,0.6736168455752829
1,530,1,-100,42,449,122,0.6670137476349562
2,531,1,-101,43,451,122,0.6604763516169062
171,701,1,-270,44,569,175,0.6540040037760834
