iteration,successes,successes_episode,reward_episode,episode_count,random_act,timestep,epsilon
4,3,0,-103,1,4,0,1.0
4,6,0,-103,2,8,0,0.9901493354116764
1,6,0,-100,3,9,0,0.9803966865736877
1,6,0,-100,4,10,0,0.970741078213023
5,10,0,-104,5,15,0,0.9611815447608
4,13,0,-103,6,19,0,0.9517171302557069
4,16,0,-103,7,23,0,0.9423468882484062
10,25,0,-109,8,33,0,0.9330698817068888
3,27,0,-102,9,36,0,0.9238851829227694
15,41,0,-114,10,50,1,0.9147918734185159
19,59,0,-118,11,68,2,0.9057890438555999
12,70,0,-111,12,79,3,0.896875793943563
3,72,0,-102,13,82,3,0.888051232349986
1,72,0,-100,14,83,3,0.8793144766113556
5,76,0,-104,15,87,4,0.8706646530448178
6,81,0,-105,16,92,5,0.8621008966608072
26,106,0,-125,17,114,9,0.8536223510765493
5,110,0,-104,18,118,10,0.8452281684304199
27,136,0,-126,19,142,13,0.8369175092971592
6,141,0,-105,20,148,13,0.8286895426039287
2,142,0,-101,21,150,13,0.820543445547202
15,156,0,-114,22,163,15,0.8124784035104852
1,156,0,-100,23,164,15,0.8044936099828537
1,156,0,-100,24,165,15,0.7965882664783007
2,157,0,-101,25,167,15,0.7887615824558879
5,161,0,-104,26,171,16,0.7810127752406908
19,179,0,-118,27,187,19,0.7733410699455306
16,194,0,-115,28,202,20,0.7657456993934846
4,197,0,-103,29,206,20,0.7582259040411682
1,197,0,-100,30,207,20,0.7507809319027796
1,197,0,-100,31,208,20,0.7434100384749007
1,197,0,-100,32,209,20,0.7361124866620463
10,206,0,-109,33,217,22,0.7288875467029541
20,225,0,-119,34,232,27,0.7217344960976069
105,329,0,-204,35,304,60,0.7146526195349836
1,329,0,-100,36,305,60,0.7076412088215263
1,329,0,-100,37,306,60,0.7006995628103208
1,329,0,-100,38,307,60,0.6938269873309811
17,345,0,-116,39,319,65,0.6870227951202322
27,371,0,-126,40,340,71,0.680286305753183
14,384,0,-113,41,348,77,0.6736168455752829
4,387,0,-103,42,349,80,0.6670137476349562
26,412,0,-125,43,368,87,0.6604763516169062
21,432,0,-120,44,377,99,0.6540040037760834
17,448,0,-116,45,390,103,0.64759605687231
5,452,0,-104,46,393,105,0.6412518701055556
17,468,0,-116,47,402,113,0.6349708090518567
16,483,0,-115,48,409,122,0.6287522455998737
67,549,0,-166,49,447,151,0.6225955578880794
6,554,0,-105,50,452,152,0.616500130242572
14,567,0,-113,51,460,158,0.6104653531155071
8,574,0,-107,52,466,160,0.6044906230241432
12,585,0,-111,53,471,167,0.5985753424904925
46,630,0,-145,54,499,185,0.5927189199815717
1,630,0,-100,55,500,185,0.5869207698502498
1,630,0,-100,56,501,185,0.5811803122766818
25,654,0,-124,57,515,196,0.5754969732103268
1,654,0,-100,58,516,196,0.5698701843125418
10,663,0,-109,59,520,202,0.564299382899748
34,696,0,-133,60,537,219,0.558784011887162
9,704,0,-108,61,541,224,0.5533235197330862
22,725,0,-121,62,553,234,0.5479173603837548
53,778,1,-53,63,582,258,0.5425649932187278
5,782,1,-104,64,586,259,0.5372658829968282
2,783,1,-101,65,588,259,0.5320194998026181
11,793,1,-110,66,593,265,0.5268253189934059
1,793,1,-100,67,594,265,0.5216828211467822
14,806,1,-113,68,599,274,0.516591492008677
7,812,1,-106,69,602,278,0.5115508224419336
3,814,1,-102,70,603,280,0.5065603083753949
10,823,1,-109,71,607,286,0.5016194507534953
6,828,1,-105,72,609,290,0.49672775548635545
9,836,1,-108,73,613,295,0.491884733400372
10,845,1,-109,74,618,300,0.48708990018930043
15,859,1,-114,75,626,307,0.48234277636582407
18,876,1,-117,76,636,315,0.47764288721360454
1,876,1,-100,77,637,315,0.47298976273981014
3,878,1,-102,78,639,316,0.4683829376281158
34,911,1,-133,79,659,330,0.4638219511921713
77,987,1,-176,80,686,380,0.4593063473295323
3,989,1,-102,81,687,382,0.45483567447604933
2,990,1,-101,82,689,382,0.4504094855607117
110,1100,2,-110,83,743,438,0.44602733796093924
25,1125,3,-25,84,753,453,0.4416887934583202
23,1147,3,-122,85,763,466,0.43739341819478894
5,1151,3,-104,86,766,468,0.43314078262923944
6,1156,3,-105,87,770,470,0.4289304614945713
78,1234,4,-78,88,804,514,0.42476203375516264
1,1234,4,-100,89,805,514,0.42063508256476556
10,1243,4,-109,90,811,518,0.41654919522482203
28,1270,4,-127,91,823,534,0.4125039631431931
6,1275,4,-105,92,825,538,0.40849898179329963
4,1278,4,-103,93,827,540,0.404533850673669
19,1296,4,-118,94,831,555,0.40060817326788506
7,1302,4,-106,95,836,557,0.3967215570049359
23,1324,4,-122,96,843,573,0.3928736132199562
51,1374,4,-150,97,861,606,0.38906395711536096
