iteration,successes,reward_episode,episode_count,random_act,timestep
101,101,101,1,71,30
101,202,101,2,151,51
101,303,101,3,228,75
101,404,101,4,316,88
101,505,101,5,397,108
101,606,101,6,478,128
101,707,101,7,560,147
101,808,101,8,641,167
101,909,101,9,725,184
101,1010,101,10,800,210
101,1111,101,11,881,230
101,1212,101,12,962,250
101,1313,101,13,1046,267
101,1414,101,14,1123,291
107,1521,107,15,1208,313
106,1627,106,16,1295,332
101,1728,101,17,1377,351
101,1829,101,18,1460,369
101,1930,101,19,1544,386
101,2031,101,20,1624,407
101,2132,101,21,1706,426
101,2233,101,22,1781,452
101,2334,101,23,1861,473
36,2370,36,24,1890,480
101,2471,101,25,1965,506
106,2577,106,26,2051,526
101,2678,101,27,2135,543
101,2779,101,28,2214,565
101,2880,101,29,2291,589
101,2981,101,30,2373,608
101,3082,101,31,2454,628
101,3183,101,32,2538,645
101,3284,101,33,2619,665
101,3385,101,34,2702,683
101,3486,101,35,2771,715
101,3587,101,36,2848,739
101,3688,101,37,2926,762
45,3733,45,38,2969,764
101,3834,101,39,3050,784
101,3935,101,40,3134,801
101,4036,101,41,3215,821
104,4140,104,42,3298,842
101,4241,101,43,3371,870
105,4346,105,44,3452,894
101,4447,101,45,3526,921
32,4479,32,46,3557,922
101,4580,101,47,3635,945
112,4692,112,48,3723,969
69,4761,69,49,3781,980
101,4862,101,50,3862,1000
101,4963,101,51,3933,1030
107,5070,107,52,4028,1042
58,5128,58,53,4077,1051
101,5229,101,54,4157,1072
101,5330,101,55,4239,1091
101,5431,101,56,4321,1110
69,5500,69,57,4383,1117
101,5601,101,58,4468,1133
101,5702,101,59,4552,1150
101,5803,101,60,4635,1168
58,5861,58,61,4683,1178
101,5962,101,62,4768,1194
101,6063,101,63,4850,1213
51,6114,51,64,4898,1216
101,6215,101,65,4975,1240
93,6308,93,66,5057,1251
102,6410,102,67,5141,1269
118,6528,118,68,5243,1285
101,6629,101,69,5321,1308
101,6730,101,70,5401,1329
101,6831,101,71,5485,1346
101,6932,101,72,5570,1362
101,7033,101,73,5648,1385
101,7134,101,74,5727,1407
101,7235,101,75,5808,1427
101,7336,101,76,5888,1448
108,7444,108,77,5973,1471
101,7545,101,78,6051,1494
101,7646,101,79,6131,1515
101,7747,101,80,6212,1535
101,7848,101,81,6288,1560
72,7920,72,82,6350,1570
96,8016,96,83,6424,1592
34,8050,34,84,6455,1595
101,8151,101,85,6532,1619
101,8252,101,86,6606,1646
101,8353,101,87,6686,1667
101,8454,101,88,6764,1690
101,8555,101,89,6843,1712
101,8656,101,90,6923,1733
112,8768,112,91,7015,1753
101,8869,101,92,7097,1772
101,8970,101,93,7178,1792
101,9071,101,94,7256,1815
100,9171,100,95,7338,1833
38,9209,38,96,7372,1837
103,9312,103,97,7453,1859
101,9413,101,98,7539,1874
101,9514,101,99,7619,1895
101,9615,101,100,7708,1907
101,9716,101,101,7783,1933
101,9817,101,102,7866,1951
101,9918,101,103,7944,1974
101,10019,101,104,8028,1991
101,10120,101,105,8111,2009
34,10154,34,106,8142,2012
101,10255,101,107,8222,2033
119,10374,119,108,8323,2051
101,10475,101,109,8401,2074
101,10576,101,110,8482,2094
104,10680,104,111,8566,2114
101,10781,101,112,8646,2135
155,10936,155,113,8775,2161
83,11019,83,114,8846,2173
51,11070,51,115,8890,2180
101,11171,101,116,8977,2194
89,11260,89,117,9056,2204
101,11361,101,118,9135,2226
101,11462,101,119,9217,2245
101,11563,101,120,9299,2264
101,11664,101,121,9382,2282
101,11765,101,122,9460,2305
101,11866,101,123,9538,2328
107,11973,107,124,9622,2351
88,12061,88,125,9695,2366
101,12162,101,126,9769,2393
101,12263,101,127,9850,2413
101,12364,101,128,9931,2433
101,12465,101,129,10012,2453
67,12532,67,130,10070,2462
101,12633,101,131,10147,2486
101,12734,101,132,10228,2506
114,12848,114,133,10323,2525
101,12949,101,134,10403,2546
101,13050,101,135,10482,2568
101,13151,101,136,10562,2589
34,13185,34,137,10591,2594
101,13286,101,138,10674,2612
101,13387,101,139,10753,2634
101,13488,101,140,10829,2659
101,13589,101,141,10913,2676
101,13690,101,142,10987,2703
101,13791,101,143,11068,2723
101,13892,101,144,11145,2747
101,13993,101,145,11218,2775
