iteration,successes,reward_episode,episode_count,random_act,timestep,epsilon
101,101,202,1,101,0,1.0
101,202,202,2,200,2,0.9901493354116764
101,303,202,3,299,4,0.9803966865736877
101,404,202,4,398,6,0.970741078213023
101,505,202,5,497,8,0.9611815447608
101,606,202,6,589,17,0.9517171302557069
101,707,202,7,687,20,0.9423468882484062
101,808,202,8,784,24,0.9330698817068888
101,909,202,9,878,31,0.9238851829227694
101,1010,202,10,969,41,0.9147918734185159
101,1111,202,11,1062,49,0.9057890438555999
101,1212,202,12,1151,61,0.896875793943563
101,1313,202,13,1239,74,0.888051232349986
101,1414,202,14,1332,82,0.8793144766113556
101,1515,202,15,1419,96,0.8706646530448178
101,1616,202,16,1510,106,0.8621008966608072
101,1717,202,17,1595,122,0.8536223510765493
101,1818,202,18,1682,136,0.8452281684304199
101,1919,202,19,1765,154,0.8369175092971592
101,2020,202,20,1848,172,0.8286895426039287
101,2121,202,21,1928,193,0.820543445547202
101,2222,202,22,2010,212,0.8124784035104852
101,2323,202,23,2091,232,0.8044936099828537
101,2424,202,24,2172,252,0.7965882664783007
101,2525,202,25,2258,267,0.7887615824558879
101,2626,202,26,2342,284,0.7810127752406908
101,2727,202,27,2421,306,0.7733410699455306
101,2828,202,28,2491,337,0.7657456993934846
101,2929,202,29,2565,364,0.7582259040411682
101,3030,202,30,2649,381,0.7507809319027796
101,3131,202,31,2710,421,0.7434100384749007
101,3232,202,32,2776,456,0.7361124866620463
101,3333,202,33,2852,481,0.7288875467029541
101,3434,202,34,2928,506,0.7217344960976069
101,3535,202,35,2999,536,0.7146526195349836
101,3636,202,36,3080,556,0.7076412088215263
101,3737,202,37,3149,588,0.7006995628103208
101,3838,202,38,3216,622,0.6938269873309811
101,3939,202,39,3284,655,0.6870227951202322
101,4040,202,40,3352,688,0.680286305753183
101,4141,202,41,3429,712,0.6736168455752829
101,4242,202,42,3486,756,0.6670137476349562
101,4343,202,43,3553,790,0.6604763516169062
101,4444,202,44,3617,827,0.6540040037760834
101,4545,202,45,3685,860,0.64759605687231
101,4646,202,46,3750,896,0.6412518701055556
101,4747,202,47,3818,929,0.6349708090518567
101,4848,202,48,3885,963,0.6287522455998737
101,4949,202,49,3950,999,0.6225955578880794
101,5050,202,50,4013,1037,0.616500130242572
101,5151,202,51,4079,1072,0.6104653531155071
101,5252,202,52,4145,1107,0.6044906230241432
101,5353,202,53,4212,1141,0.5985753424904925
101,5454,202,54,4272,1182,0.5927189199815717
101,5555,202,55,4333,1222,0.5869207698502498
101,5656,202,56,4401,1255,0.5811803122766818
101,5757,202,57,4443,1314,0.5754969732103268
101,5858,202,58,4502,1356,0.5698701843125418
101,5959,202,59,4559,1400,0.564299382899748
101,6060,202,60,4615,1445,0.558784011887162
101,6161,202,61,4668,1493,0.5533235197330862
101,6262,202,62,4720,1542,0.5479173603837548
101,6363,202,63,4774,1589,0.5425649932187278
101,6464,202,64,4825,1639,0.5372658829968282
101,6565,202,65,4879,1686,0.5320194998026181
101,6666,202,66,4919,1747,0.5268253189934059
101,6767,202,67,4981,1786,0.5216828211467822
101,6868,202,68,5031,1837,0.516591492008677
101,6969,202,69,5087,1882,0.5115508224419336
101,7070,202,70,5129,1941,0.5065603083753949
101,7171,202,71,5177,1994,0.5016194507534953
101,7272,202,72,5228,2044,0.49672775548635545
101,7373,202,73,5278,2095,0.491884733400372
101,7474,202,74,5323,2151,0.48708990018930043
101,7575,202,75,5379,2196,0.48234277636582407
101,7676,202,76,5432,2244,0.47764288721360454
101,7777,202,77,5471,2306,0.47298976273981014
101,7878,202,78,5520,2358,0.4683829376281158
101,7979,202,79,5566,2413,0.4638219511921713
101,8080,202,80,5614,2466,0.4593063473295323
101,8181,202,81,5653,2528,0.45483567447604933
101,8282,202,82,5706,2576,0.4504094855607117
101,8383,202,83,5746,2637,0.44602733796093924
101,8484,202,84,5797,2687,0.4416887934583202
101,8585,202,85,5839,2746,0.43739341819478894
101,8686,202,86,5880,2806,0.43314078262923944
101,8787,202,87,5920,2867,0.4289304614945713
101,8888,202,88,5969,2919,0.42476203375516264
101,8989,202,89,6019,2970,0.42063508256476556
101,9090,202,90,6058,3032,0.41654919522482203
101,9191,202,91,6099,3092,0.4125039631431931
101,9292,202,92,6146,3146,0.40849898179329963
101,9393,202,93,6188,3205,0.404533850673669
101,9494,202,94,6235,3259,0.40060817326788506
101,9595,202,95,6272,3323,0.3967215570049359
101,9696,202,96,6318,3378,0.3928736132199562
101,9797,202,97,6360,3437,0.38906395711536096
101,9898,202,98,6398,3500,0.38529220772236483
101,9999,202,99,6442,3557,0.3815579878628856
101,10100,202,100,6473,3627,0.37786092411182526
101,10201,202,101,6516,3685,0.3742006467597279
101,10302,202,102,6552,3750,0.3705767897758081
101,10403,202,103,6589,3814,0.3669889907713475
101,10504,202,104,6624,3880,0.36343689096345594
101,10605,202,105,6659,3946,0.35992013513919235
101,10706,202,106,6688,4018,0.35643837162004377
101,10807,202,107,6731,4076,0.3529912522267568
101,10908,202,108,6771,4137,0.34957843224451957
