iteration,successes,successes_episode,reward_episode,episode_count,random_act,timestep
21,21,0,0.0,1,11,10
5,26,0,0.0,2,16,10
11,37,0,0.0,3,25,12
2,39,0,0.0,4,26,13
9,48,0,0.0,5,32,16
3,51,0,0.0,6,32,19
16,67,0,0.0,7,44,23
13,80,0,0.0,8,53,27
4,84,0,0.0,9,55,29
4,88,0,0.0,10,58,30
9,97,0,0.0,11,67,30
8,105,0,0.0,12,73,32
3,108,0,0.0,13,76,32
3,111,0,0.0,14,79,32
24,135,0,0.0,15,96,39
24,159,0,0.0,16,118,41
6,165,0,0.0,17,122,43
11,176,0,0.0,18,131,45
6,182,0,0.0,19,137,45
18,200,0,0.0,20,151,49
6,206,0,0.0,21,155,51
7,213,0,0.0,22,159,54
3,216,0,0.0,23,162,54
3,219,0,0.0,24,165,54
5,224,0,0.0,25,169,55
2,226,0,0.0,26,171,55
14,240,0,0.0,27,183,57
3,243,0,0.0,28,186,57
16,259,0,0.0,29,197,62
9,268,0,0.0,30,204,64
2,270,0,0.0,31,205,65
9,279,0,0.0,32,211,68
17,296,0,0.0,33,225,71
4,300,0,0.0,34,227,73
7,307,0,0.0,35,232,75
12,319,0,0.0,36,241,78
8,327,0,0.0,37,247,80
3,330,0,0.0,38,250,80
7,337,0,0.0,39,255,82
3,340,0,0.0,40,257,83
25,365,0,0.0,41,280,85
14,379,0,0.0,42,292,87
6,385,0,0.0,43,298,87
4,389,0,0.0,44,302,87
20,409,0,0.0,45,321,88
3,412,0,0.0,46,323,89
2,414,0,0.0,47,325,89
5,419,0,0.0,48,330,89
2,421,0,0.0,49,331,90
2,423,0,0.0,50,333,90
3,426,0,0.0,51,336,90
8,434,0,0.0,52,343,91
7,441,0,0.0,53,349,92
13,454,0,0.0,54,359,95
2,456,0,0.0,55,361,95
7,463,0,0.0,56,366,97
2,465,0,0.0,57,367,98
2,467,0,0.0,58,368,99
11,478,0,0.0,59,377,101
13,491,0,0.0,60,386,105
7,498,0,0.0,61,391,107
7,505,0,0.0,62,397,108
7,512,0,0.0,63,402,110
7,519,0,0.0,64,408,111
5,524,0,0.0,65,412,112
7,531,0,0.0,66,417,114
2,533,0,0.0,67,419,114
5,538,0,0.0,68,423,115
15,553,0,0.0,69,435,118
6,559,0,0.0,70,441,118
11,570,0,0.0,71,448,122
8,578,0,0.0,72,454,124
18,596,0,0.0,73,470,126
4,600,0,0.0,74,473,127
11,611,0,0.0,75,483,128
2,613,0,0.0,76,485,128
17,630,1,1.0,77,499,131
7,637,1,0.0,78,500,137
4,641,1,0.0,79,500,141
9,650,1,0.0,80,502,148
12,662,2,1.0,81,504,158
4,666,2,0.0,82,504,162
11,677,2,0.0,83,504,173
8,685,2,0.0,84,504,181
11,696,2,0.0,85,504,192
8,704,2,0.0,86,504,200
8,712,2,0.0,87,504,208
4,716,2,0.0,88,505,211
4,720,2,0.0,89,505,215
3,723,2,0.0,90,505,218
9,732,2,0.0,91,505,227
9,741,3,1.0,92,505,236
4,745,3,0.0,93,505,240
6,751,4,1.0,94,505,246
18,769,4,0.0,95,506,263
6,775,4,0.0,96,506,269
5,780,4,0.0,97,506,274
11,791,5,1.0,98,506,285
9,800,5,0.0,99,506,294
6,806,5,0.0,100,506,300
