iteration,successes,successes_episode,reward_episode,episode_count,random_act,timestep
7,7,0,0.0,1,5,2
21,28,0,0.0,2,18,10
5,33,0,0.0,3,21,12
5,38,0,0.0,4,26,12
20,58,0,0.0,5,38,20
2,60,0,0.0,6,38,22
2,62,0,0.0,7,40,22
3,65,0,0.0,8,42,23
5,70,0,0.0,9,46,24
7,77,0,0.0,10,51,26
8,85,0,0.0,11,55,30
11,96,0,0.0,12,66,30
24,120,0,0.0,13,85,35
7,127,0,0.0,14,90,37
14,141,0,0.0,15,101,40
2,143,0,0.0,16,103,40
10,153,0,0.0,17,113,40
7,160,0,0.0,18,119,41
18,178,0,0.0,19,133,45
15,193,0,0.0,20,146,47
3,196,0,0.0,21,149,47
10,206,0,0.0,22,155,51
17,223,0,0.0,23,168,55
9,232,0,0.0,24,177,55
3,235,0,0.0,25,179,56
9,244,0,0.0,26,187,57
7,251,0,0.0,27,190,61
5,256,0,0.0,28,194,62
2,258,0,0.0,29,196,62
13,271,0,0.0,30,205,66
13,284,0,0.0,31,215,69
17,301,0,0.0,32,227,74
2,303,0,0.0,33,228,75
12,315,0,0.0,34,238,77
11,326,0,0.0,35,246,80
5,331,0,0.0,36,251,80
4,335,0,0.0,37,253,82
7,342,0,0.0,38,259,83
3,345,0,0.0,39,261,84
9,354,0,0.0,40,269,85
3,357,0,0.0,41,272,85
3,360,0,0.0,42,275,85
5,365,0,0.0,43,280,85
9,374,0,0.0,44,288,86
3,377,0,0.0,45,291,86
10,387,0,0.0,46,300,87
16,403,0,0.0,47,315,88
6,409,0,0.0,48,321,88
4,413,0,0.0,49,324,89
6,419,0,0.0,50,330,89
3,422,0,0.0,51,332,90
6,428,0,0.0,52,338,90
3,431,0,0.0,53,340,91
6,437,0,0.0,54,345,92
6,443,0,0.0,55,351,92
11,454,0,0.0,56,359,95
8,462,0,0.0,57,365,97
8,470,0,0.0,58,371,99
5,475,0,0.0,59,375,100
18,493,0,0.0,60,387,106
2,495,0,0.0,61,389,106
7,502,0,0.0,62,394,108
3,505,0,0.0,63,397,108
5,510,0,0.0,64,401,109
6,516,0,0.0,65,406,110
8,524,0,0.0,66,412,112
9,533,0,0.0,67,419,114
11,544,0,0.0,68,427,117
10,554,0,0.0,69,436,118
6,560,0,0.0,70,442,118
25,585,0,0.0,71,460,125
24,609,0,0.0,72,481,128
4,613,0,0.0,73,485,128
6,619,0,0.0,74,489,130
7,626,0,0.0,75,496,130
2,628,0,0.0,76,497,131
6,634,0,0.0,77,502,132
2,636,0,0.0,78,504,132
9,645,0,0.0,79,512,133
2,647,0,0.0,80,514,133
5,652,0,0.0,81,518,134
2,654,0,0.0,82,519,135
4,658,0,0.0,83,521,137
5,663,0,0.0,84,524,139
4,667,0,0.0,85,527,140
13,680,0,0.0,86,539,141
4,684,0,0.0,87,542,142
5,689,0,0.0,88,547,142
20,709,0,0.0,89,562,147
8,717,0,0.0,90,568,149
15,732,0,0.0,91,579,153
2,734,0,0.0,92,580,154
4,738,0,0.0,93,584,154
2,740,0,0.0,94,586,154
3,743,0,0.0,95,589,154
15,758,0,0.0,96,599,159
4,762,0,0.0,97,603,159
2,764,0,0.0,98,605,159
4,768,0,0.0,99,609,159
4,772,0,0.0,100,612,160
6,778,0,0.0,101,617,161
4,782,0,0.0,102,620,162
2,784,0,0.0,103,621,163
5,789,0,0.0,104,625,164
2,791,0,0.0,105,626,165
14,805,0,0.0,106,639,166
2,807,0,0.0,107,641,166
14,821,0,0.0,108,653,168
2,823,0,0.0,109,655,168
3,826,0,0.0,110,658,168
4,830,0,0.0,111,662,168
5,835,0,0.0,112,665,170
4,839,0,0.0,113,669,170
12,851,0,0.0,114,680,171
9,860,0,0.0,115,687,173
8,868,1,1.0,116,694,174
5,873,1,0.0,117,695,178
3,876,1,0.0,118,696,180
17,893,1,0.0,119,697,196
9,902,1,0.0,120,698,204
3,905,1,0.0,121,698,207
8,913,1,0.0,122,701,212
2,915,1,0.0,123,702,213
2,917,1,0.0,124,702,215
6,923,1,0.0,125,705,218
2,925,1,0.0,126,705,220
4,929,1,0.0,127,705,224
17,946,1,0.0,128,708,238
3,949,1,0.0,129,708,241
7,956,1,0.0,130,710,246
2,958,1,0.0,131,711,247
11,969,1,0.0,132,714,255
8,977,1,0.0,133,716,261
5,982,1,0.0,134,718,264
7,989,1,0.0,135,719,270
8,997,1,0.0,136,721,276
13,1010,1,0.0,137,723,287
13,1023,1,0.0,138,724,299
5,1028,1,0.0,139,724,304
4,1032,1,0.0,140,726,306
2,1034,1,0.0,141,727,307
11,1045,1,0.0,142,728,317
6,1051,1,0.0,143,730,321
2,1053,1,0.0,144,730,323
16,1069,1,0.0,145,734,335
3,1072,1,0.0,146,734,338
8,1080,1,0.0,147,735,345
7,1087,1,0.0,148,736,351
9,1096,1,0.0,149,737,359
15,1111,1,0.0,150,738,373
5,1116,1,0.0,151,738,378
7,1123,1,0.0,152,739,384
11,1134,1,0.0,153,742,392
18,1152,1,0.0,154,743,409
8,1160,1,0.0,155,743,417
3,1163,1,0.0,156,744,419
10,1173,1,0.0,157,745,428
8,1181,1,0.0,158,746,435
7,1188,1,0.0,159,747,441
5,1193,1,0.0,160,747,446
2,1195,1,0.0,161,747,448
8,1203,1,0.0,162,747,456
5,1208,1,0.0,163,747,461
3,1211,1,0.0,164,747,464
2,1213,1,0.0,165,747,466
12,1225,1,0.0,166,747,478
6,1231,1,0.0,167,748,483
7,1238,1,0.0,168,748,490
2,1240,1,0.0,169,748,492
10,1250,1,0.0,170,748,502
11,1261,1,0.0,171,748,513
2,1263,1,0.0,172,748,515
11,1274,1,0.0,173,748,526
18,1292,1,0.0,174,750,542
5,1297,1,0.0,175,752,545
2,1299,1,0.0,176,752,547
9,1308,1,0.0,177,753,555
2,1310,1,0.0,178,753,557
2,1312,1,0.0,179,754,558
6,1318,1,0.0,180,754,564
13,1331,1,0.0,181,755,576
9,1340,1,0.0,182,755,585
12,1352,1,0.0,183,755,597
5,1357,1,0.0,184,755,602
11,1368,1,0.0,185,756,612
13,1381,1,0.0,186,756,625
6,1387,1,0.0,187,756,631
9,1396,1,0.0,188,757,639
15,1411,1,0.0,189,757,654
3,1414,1,0.0,190,757,657
13,1427,1,0.0,191,757,670
4,1431,1,0.0,192,757,674
7,1438,1,0.0,193,757,681
6,1444,1,0.0,194,758,686
4,1448,1,0.0,195,758,690
8,1456,1,0.0,196,758,698
7,1463,1,0.0,197,758,705
7,1470,1,0.0,198,758,712
3,1473,1,0.0,199,758,715
18,1491,1,0.0,200,758,733
3,1494,1,0.0,201,758,736
6,1500,1,0.0,202,758,742
2,1502,1,0.0,203,758,744
6,1508,1,0.0,204,758,750
8,1516,1,0.0,205,758,758
7,1523,1,0.0,206,760,763
9,1532,1,0.0,207,760,772
6,1538,1,0.0,208,760,778
8,1546,1,0.0,209,760,786
7,1553,1,0.0,210,760,793
5,1558,1,0.0,211,760,798
7,1565,1,0.0,212,761,804
10,1575,1,0.0,213,762,813
14,1589,1,0.0,214,763,826
6,1595,1,0.0,215,763,832
6,1601,1,0.0,216,764,837
13,1614,1,0.0,217,764,850
18,1632,1,0.0,218,764,868
7,1639,1,0.0,219,764,875
8,1647,1,0.0,220,764,883
2,1649,1,0.0,221,764,885
4,1653,1,0.0,222,764,889
7,1660,1,0.0,223,766,894
14,1674,1,0.0,224,766,908
6,1680,1,0.0,225,766,914
6,1686,1,0.0,226,766,920
4,1690,1,0.0,227,768,922
4,1694,1,0.0,228,768,926
5,1699,1,0.0,229,768,931
5,1704,1,0.0,230,768,936
5,1709,1,0.0,231,768,941
2,1711,1,0.0,232,768,943
11,1722,1,0.0,233,768,954
9,1731,1,0.0,234,769,962
2,1733,1,0.0,235,769,964
2,1735,1,0.0,236,769,966
10,1745,1,0.0,237,769,976
4,1749,1,0.0,238,770,979
3,1752,1,0.0,239,770,982
3,1755,1,0.0,240,771,984
6,1761,1,0.0,241,771,990
