iteration,successes,successes_episode,reward_episode,episode_count,random_act,timestep,epsilon
10,10,0,0.0,1,10,0,1.0
5,15,0,0.0,2,15,0,0.9901493354116764
2,17,0,0.0,3,16,1,0.9803966865736877
16,33,0,0.0,4,31,2,0.970741078213023
4,37,0,0.0,5,34,3,0.9611815447608
15,52,0,0.0,6,48,4,0.9517171302557069
7,59,0,0.0,7,55,4,0.9423468882484062
3,62,0,0.0,8,57,5,0.9330698817068888
2,64,0,0.0,9,59,5,0.9238851829227694
12,76,0,0.0,10,70,6,0.9147918734185159
3,79,0,0.0,11,73,6,0.9057890438555999
2,81,0,0.0,12,74,7,0.896875793943563
25,106,0,0.0,13,93,13,0.888051232349986
3,109,0,0.0,14,95,14,0.8793144766113556
9,118,0,0.0,15,104,14,0.8706646530448178
2,120,0,0.0,16,106,14,0.8621008966608072
22,142,0,0.0,17,124,18,0.8536223510765493
3,145,0,0.0,18,127,18,0.8452281684304199
4,149,0,0.0,19,131,18,0.8369175092971592
2,151,0,0.0,20,133,18,0.8286895426039287
2,153,0,0.0,21,135,18,0.820543445547202
5,158,0,0.0,22,139,19,0.8124784035104852
18,176,0,0.0,23,154,22,0.8044936099828537
23,199,0,0.0,24,171,28,0.7965882664783007
2,201,0,0.0,25,173,28,0.7887615824558879
20,221,0,0.0,26,188,33,0.7810127752406908
3,224,0,0.0,27,190,34,0.7733410699455306
5,229,0,0.0,28,195,34,0.7657456993934846
6,235,0,0.0,29,200,35,0.7582259040411682
18,253,0,0.0,30,209,44,0.7507809319027796
11,264,0,0.0,31,219,45,0.7434100384749007
7,271,0,0.0,32,224,47,0.7361124866620463
15,286,0,0.0,33,236,50,0.7288875467029541
2,288,0,0.0,34,238,50,0.7217344960976069
6,294,0,0.0,35,243,51,0.7146526195349836
6,300,0,0.0,36,247,53,0.7076412088215263
13,313,0,0.0,37,255,58,0.7006995628103208
4,317,0,0.0,38,259,58,0.6938269873309811
10,327,0,0.0,39,266,61,0.6870227951202322
3,330,0,0.0,40,268,62,0.680286305753183
2,332,0,0.0,41,270,62,0.6736168455752829
6,338,0,0.0,42,274,64,0.6670137476349562
13,351,0,0.0,43,279,72,0.6604763516169062
3,354,0,0.0,44,281,73,0.6540040037760834
4,358,0,0.0,45,284,74,0.64759605687231
4,362,0,0.0,46,287,75,0.6412518701055556
9,371,0,0.0,47,295,76,0.6349708090518567
5,376,0,0.0,48,297,79,0.6287522455998737
8,384,0,0.0,49,304,80,0.6225955578880794
3,387,0,0.0,50,306,81,0.616500130242572
5,392,0,0.0,51,309,83,0.6104653531155071
2,394,0,0.0,52,310,84,0.6044906230241432
2,396,0,0.0,53,311,85,0.5985753424904925
8,404,0,0.0,54,312,92,0.5927189199815717
