iteration,successes,successes_episode,reward_episode,episode_count,random_act,timestep,epsilon
3,3,0,0.0,1,3,0,1.0
29,32,0,0.0,2,32,0,0.9901493354116764
8,40,0,0.0,3,40,0,0.9803966865736877
5,45,0,0.0,4,45,0,0.970741078213023
17,62,0,0.0,5,62,0,0.9611815447608
15,77,0,0.0,6,76,1,0.9517171302557069
21,98,0,0.0,7,96,2,0.9423468882484062
13,111,0,0.0,8,107,4,0.9330698817068888
3,114,0,0.0,9,109,5,0.9238851829227694
4,118,0,0.0,10,113,5,0.9147918734185159
14,132,0,0.0,11,124,8,0.9057890438555999
6,138,0,0.0,12,130,8,0.896875793943563
4,142,0,0.0,13,134,8,0.888051232349986
2,144,0,0.0,14,136,8,0.8793144766113556
7,151,0,0.0,15,142,9,0.8706646530448178
2,153,0,0.0,16,144,9,0.8621008966608072
4,157,0,0.0,17,146,11,0.8536223510765493
13,170,0,0.0,18,156,14,0.8452281684304199
5,175,0,0.0,19,160,15,0.8369175092971592
2,177,0,0.0,20,162,15,0.8286895426039287
4,181,0,0.0,21,166,15,0.820543445547202
7,188,0,0.0,22,172,16,0.8124784035104852
5,193,0,0.0,23,176,17,0.8044936099828537
2,195,0,0.0,24,178,17,0.7965882664783007
8,203,0,0.0,25,186,17,0.7887615824558879
2,205,0,0.0,26,187,18,0.7810127752406908
2,207,0,0.0,27,189,18,0.7733410699455306
28,235,0,0.0,28,211,24,0.7657456993934846
3,238,0,0.0,29,214,24,0.7582259040411682
5,243,0,0.0,30,218,25,0.7507809319027796
4,247,0,0.0,31,221,26,0.7434100384749007
2,249,0,0.0,32,223,26,0.7361124866620463
18,267,0,0.0,33,234,33,0.7288875467029541
2,269,0,0.0,34,236,33,0.7217344960976069
11,280,0,0.0,35,246,34,0.7146526195349836
2,282,0,0.0,36,248,34,0.7076412088215263
21,303,0,0.0,37,260,43,0.7006995628103208
2,305,0,0.0,38,262,43,0.6938269873309811
34,339,0,0.0,39,281,58,0.6870227951202322
2,341,0,0.0,40,282,59,0.680286305753183
8,349,0,0.0,41,285,64,0.6736168455752829
4,353,0,0.0,42,287,66,0.6670137476349562
2,355,0,0.0,43,288,67,0.6604763516169062
15,370,0,0.0,44,296,74,0.6540040037760834
5,375,0,0.0,45,298,77,0.64759605687231
4,379,0,0.0,46,302,77,0.6412518701055556
25,404,0,0.0,47,317,87,0.6349708090518567
16,420,0,0.0,48,325,95,0.6287522455998737
5,425,0,0.0,49,329,96,0.6225955578880794
2,427,0,0.0,50,330,97,0.616500130242572
12,439,0,0.0,51,340,99,0.6104653531155071
3,442,0,0.0,52,343,99,0.6044906230241432
27,469,0,0.0,53,357,112,0.5985753424904925
11,480,0,0.0,54,365,115,0.5927189199815717
19,499,0,0.0,55,378,121,0.5869207698502498
6,505,0,0.0,56,381,124,0.5811803122766818
6,511,0,0.0,57,385,126,0.5754969732103268
9,520,0,0.0,58,392,128,0.5698701843125418
2,522,0,0.0,59,394,128,0.564299382899748
8,530,0,0.0,60,399,131,0.558784011887162
2,532,0,0.0,61,400,132,0.5533235197330862
11,543,0,0.0,62,407,136,0.5479173603837548
10,553,0,0.0,63,414,139,0.5425649932187278
41,594,0,0.0,64,435,159,0.5372658829968282
16,610,0,0.0,65,445,165,0.5320194998026181
12,622,0,0.0,66,450,172,0.5268253189934059
15,637,0,0.0,67,460,177,0.5216828211467822
4,641,0,0.0,68,463,178,0.516591492008677
17,658,0,0.0,69,474,184,0.5115508224419336
9,667,0,0.0,70,478,189,0.5065603083753949
9,676,0,0.0,71,481,195,0.5016194507534953
8,684,0,0.0,72,485,199,0.49672775548635545
9,693,0,0.0,73,488,205,0.491884733400372
15,708,0,0.0,74,494,214,0.48708990018930043
34,742,0,0.0,75,501,241,0.48234277636582407
25,767,0,0.0,76,508,259,0.47764288721360454
2,769,0,0.0,77,510,259,0.47298976273981014
2,771,0,0.0,78,512,259,0.4683829376281158
14,785,0,0.0,79,518,267,0.4638219511921713
30,815,0,0.0,80,531,284,0.4593063473295323
24,839,0,0.0,81,541,298,0.45483567447604933
19,858,0,0.0,82,549,309,0.4504094855607117
14,872,0,0.0,83,555,317,0.44602733796093924
41,913,0,0.0,84,570,343,0.4416887934583202
20,933,0,0.0,85,578,355,0.43739341819478894
18,951,0,0.0,86,591,360,0.43314078262923944
43,994,0,0.0,87,606,388,0.4289304614945713
8,1002,0,0.0,88,608,394,0.42476203375516264
11,1013,0,0.0,89,613,400,0.42063508256476556
2,1015,0,0.0,90,614,401,0.41654919522482203
9,1024,0,0.0,91,617,407,0.4125039631431931
9,1033,0,0.0,92,621,412,0.40849898179329963
15,1048,0,0.0,93,625,423,0.404533850673669
15,1063,0,0.0,94,630,433,0.40060817326788506
8,1071,0,0.0,95,633,438,0.3967215570049359
6,1077,0,0.0,96,636,441,0.3928736132199562
18,1095,0,0.0,97,645,450,0.38906395711536096
14,1109,0,0.0,98,649,460,0.38529220772236483
19,1128,0,0.0,99,658,470,0.3815579878628856
46,1174,0,0.0,100,677,497,0.37786092411182526
8,1182,0,0.0,101,681,501,0.3742006467597279
3,1185,0,0.0,102,683,502,0.3705767897758081
2,1187,0,0.0,103,684,503,0.3669889907713475
21,1208,0,0.0,104,692,516,0.36343689096345594
24,1232,0,0.0,105,703,529,0.35992013513919235
4,1236,0,0.0,106,705,531,0.35643837162004377
9,1245,0,0.0,107,707,538,0.3529912522267568
4,1249,0,0.0,108,710,539,0.34957843224451957
2,1251,0,0.0,109,711,540,0.34619957038848975
24,1275,0,0.0,110,719,556,0.34285432876966604
8,1283,0,0.0,111,723,560,0.3395423728610988
3,1286,0,0.0,112,725,561,0.3362633714644372
42,1328,0,0.0,113,735,593,0.33301699667680906
21,1349,0,0.0,114,740,609,0.3298029238580304
18,1367,0,0.0,115,744,623,0.3266208315981408
25,1392,0,0.0,116,747,645,0.32347040168526264
22,1414,0,0.0,117,753,661,0.3203513190737793
20,1434,0,0.0,118,760,674,0.3172632718528302
15,1449,0,0.0,119,762,687,0.31420595121511996
27,1476,0,0.0,120,770,706,0.311179051426037
22,1498,0,0.0,121,779,719,0.3081822697930801
8,1506,0,0.0,122,780,726,0.3052153066355885
33,1539,0,0.0,123,789,750,0.30227786525477407
10,1549,0,0.0,124,794,755,0.29936965190405085
11,1560,0,0.0,125,799,761,0.29649037575966014
21,1581,0,0.0,126,806,775,0.29363974889158817
14,1595,0,0.0,127,811,784,0.2908174862347727
16,1611,0,0.0,128,817,794,0.28802330556059597
2,1613,0,0.0,129,818,795,0.2852569274486622
14,1627,0,0.0,130,821,806,0.2825180752588548
10,1637,0,0.0,131,826,811,0.27980647510367246
13,1650,0,0.0,132,831,819,0.2771218558208399
9,1659,0,0.0,133,833,826,0.27446394894619186
2,1661,0,0.0,134,834,827,0.27183248868682575
4,1665,0,0.0,135,835,830,0.26922721189452276
8,1673,0,0.0,136,838,835,0.2666478580394326
33,1706,0,0.0,137,849,857,0.26409416918402034
8,1714,0,0.0,138,852,862,0.26156588995727226
16,1730,0,0.0,139,855,875,0.2590627675291589
8,1738,0,0.0,140,857,881,0.2565845515853515
15,1753,0,0.0,141,862,891,0.2541309943021904
8,1761,0,0.0,142,864,897,0.25170185032190273
12,1773,0,0.0,143,869,904,0.24929687672806608
15,1788,0,0.0,144,872,916,0.246915833021317
18,1806,0,0.0,145,875,931,0.24455848109530054
12,1818,0,0.0,146,879,939,0.2422245852128597
38,1856,0,0.0,147,890,966,0.23991391198246126
27,1883,0,0.0,148,895,988,0.2376262303348566
27,1910,0,0.0,149,901,1009,0.2353613114999746
14,1924,0,0.0,150,903,1021,0.23311892898404435
28,1952,0,0.0,151,906,1046,0.23089885854694553
9,1961,0,0.0,152,910,1051,0.22870087817978443
15,1976,0,0.0,153,912,1064,0.22652476808269262
28,2004,0,0.0,154,916,1088,0.22437031064284702
9,2013,0,0.0,155,917,1096,0.22223729041270818
15,2028,0,0.0,156,920,1108,0.22012549408847562
15,2043,0,0.0,157,923,1120,0.21803471048875708
26,2069,0,0.0,158,930,1139,0.21596473053345028
18,2087,0,0.0,159,934,1153,0.21391534722283462
4,2091,0,0.0,160,936,1155,0.2118863556168713
37,2128,0,0.0,161,945,1183,0.20987755281470882
3,2131,0,0.0,162,946,1185,0.20788873793439305
34,2165,0,0.0,163,955,1210,0.2059197120927785
22,2187,0,0.0,164,960,1227,0.20397027838564025
42,2229,0,0.0,165,963,1266,0.20204024186798297
15,2244,0,0.0,166,965,1279,0.20012940953454655
8,2252,0,0.0,167,967,1285,0.1982375903005053
8,2260,0,0.0,168,969,1291,0.19636459498235934
15,2275,0,0.0,169,973,1302,0.19451023627901587
14,2289,0,0.0,170,975,1314,0.19267432875305937
29,2318,0,0.0,171,980,1338,0.19085668881220733
14,2332,0,0.0,172,986,1346,0.1890571346909509
12,2344,0,0.0,173,989,1355,0.1872754864323783
24,2368,0,0.0,174,993,1375,0.18551156587017906
15,2383,0,0.0,175,996,1387,0.1837651966108269
18,2401,0,0.0,176,1001,1400,0.1820362040159407
33,2434,0,0.0,177,1003,1431,0.18032441518482004
3,2437,0,0.0,178,1004,1433,0.17862965893715535
42,2479,0,0.0,179,1007,1472,0.17695176579590954
27,2506,0,0.0,180,1010,1496,0.1752905679703703
15,2521,0,0.0,181,1013,1508,0.17364589933937066
28,2549,0,0.0,182,1019,1530,0.172017595434677
15,2564,0,0.0,183,1024,1540,0.17040549342454195
8,2572,0,0.0,184,1027,1545,0.16880943209742102
2,2574,0,0.0,185,1028,1546,0.16722925184585147
4,2578,0,0.0,186,1030,1548,0.16566479465049133
40,2618,0,0.0,187,1039,1579,0.16411590406431734
8,2626,0,0.0,188,1040,1586,0.1625824251969801
20,2646,0,0.0,189,1043,1603,0.16106420469931504
20,2666,0,0.0,190,1045,1621,0.15956109074800714
42,2708,0,0.0,191,1052,1656,0.1580729330304087
9,2717,0,0.0,192,1054,1663,0.15659958272950783
44,2761,0,0.0,193,1060,1701,0.15514089250904667
32,2793,0,0.0,194,1065,1728,0.1536967164987875
8,2801,0,0.0,195,1066,1735,0.1522669102799259
15,2816,0,0.0,196,1068,1748,0.15085133087064845
29,2845,0,0.0,197,1071,1774,0.14944983671183457
18,2863,0,0.0,198,1073,1790,0.14806228765290044
42,2905,0,0.0,199,1076,1829,0.1466885449377839
8,2913,0,0.0,200,1078,1835,0.14532847119106862
18,2931,0,0.0,201,1079,1852,0.1439819304042466
42,2973,0,0.0,202,1082,1891,0.14264878792211688
18,2991,0,0.0,203,1085,1906,0.1413289104293205
8,2999,0,0.0,204,1086,1913,0.14002216593700811
27,3026,0,0.0,205,1089,1937,0.13872842376964165
8,3034,0,0.0,206,1092,1942,0.1374475545519262
42,3076,0,0.0,207,1095,1981,0.13617943019587256
14,3090,0,0.0,208,1098,1992,0.13492392388798838
28,3118,0,0.0,209,1101,2017,0.13368091007659658
38,3156,0,0.0,210,1107,2049,0.1324502644592803
16,3172,0,0.0,211,1108,2064,0.13123186397045208
37,3209,0,0.0,212,1113,2096,0.13002558676904785
2,3211,0,0.0,213,1114,2097,0.12883131222634217
19,3230,0,0.0,214,1117,2113,0.12764892091388555
3,3233,0,0.0,215,1118,2115,0.1264782945915614
14,3247,0,0.0,216,1121,2126,0.125319316195762
43,3290,0,0.0,217,1122,2168,0.12417186982768189
7,3297,0,0.0,218,1124,2173,0.12303584074172813
25,3322,0,0.0,219,1128,2194,0.12191111533404535
42,3364,0,0.0,220,1131,2233,0.12079758113115559
24,3388,0,0.0,221,1133,2255,0.11969512677871053
25,3413,0,0.0,222,1137,2276,0.11860364203035628
19,3432,0,0.0,223,1142,2290,0.11752301773670837
42,3474,0,0.0,224,1146,2328,0.116453145834437
43,3517,0,0.0,225,1149,2368,0.11539391933546027
38,3555,0,0.0,226,1151,2404,0.11434523231624569
15,3570,0,0.0,227,1153,2417,0.11330697990721733
19,3589,0,0.0,228,1155,2434,0.1122790582822692
19,3608,0,0.0,229,1159,2449,0.11126136464838206
15,3623,0,0.0,230,1162,2461,0.11025379723534455
42,3665,0,0.0,231,1165,2500,0.10925625528557566
16,3681,0,0.0,232,1167,2514,0.1082686390440492
35,3716,0,0.0,233,1173,2543,0.10729084974831793
22,3738,0,0.0,234,1174,2564,0.10632278961863742
38,3776,0,0.0,235,1177,2599,0.10536436184818809
4,3780,0,0.0,236,1178,2602,0.10441547059339411
40,3820,0,0.0,237,1180,2640,0.10347602096433932
14,3834,0,0.0,238,1182,2652,0.10254591901527788
29,3863,0,0.0,239,1184,2679,0.10162507173523985
33,3896,0,0.0,240,1185,2711,0.10071338703872978
14,3910,0,0.0,241,1188,2722,0.09981077375651838
3,3913,0,0.0,242,1189,2724,0.09891714162652515
8,3921,0,0.0,243,1190,2731,0.09803240128479247
15,3936,0,0.0,244,1191,2745,0.09715646425654882
14,3950,0,0.0,245,1195,2755,0.09628924294736148
24,3974,0,0.0,246,1199,2775,0.09543065063437678
33,4007,0,0.0,247,1201,2806,0.09458060145764802
16,4023,0,0.0,248,1204,2819,0.09373901041154904
4,4027,0,0.0,249,1205,2822,0.092905793336274
15,4042,0,0.0,250,1206,2836,0.09208086690942092
19,4061,0,0.0,251,1208,2853,0.0912641486376598
17,4078,0,0.0,252,1211,2867,0.09045555684848275
14,4092,0,0.0,253,1213,2879,0.08965501068203711
24,4116,0,0.0,254,1215,2901,0.08886243008303903
3,4119,0,0.0,255,1216,2903,0.08807773579276819
14,4133,0,0.0,256,1219,2914,0.08730084934114159
15,4148,0,0.0,257,1220,2928,0.08653169303886674
14,4162,0,0.0,258,1221,2941,0.0857701899696724
42,4204,0,0.0,259,1224,2980,0.08501626398261702
38,4242,0,0.0,260,1229,3013,0.0842698396844737
8,4250,0,0.0,261,1230,3020,0.08353084243219053
46,4296,0,0.0,262,1235,3061,0.08279919832542652
24,4320,0,0.0,263,1236,3084,0.08207483419916123
26,4346,0,0.0,264,1239,3107,0.08135767761637844
15,4361,0,0.0,265,1241,3120,0.08064765686082219
15,4376,0,0.0,266,1242,3134,0.0799447009298253
18,4394,0,0.0,267,1243,3151,0.0792487395272088
15,4409,0,0.0,268,1244,3165,0.07855970305625253
18,4427,0,0.0,269,1246,3181,0.07787752261273513
18,4445,0,0.0,270,1247,3198,0.07720212997804382
27,4472,0,0.0,271,1248,3224,0.07653345761235225
15,4487,0,0.0,272,1249,3238,0.07587143864786668
42,4529,0,0.0,273,1251,3278,0.07521600688213892
14,4543,0,0.0,274,1253,3290,0.07456709677144624
