iteration,successes,successes_episode,reward_episode,episode_count,random_act,timestep
99,99,0,0.0,1,69,30
7,106,0,0.0,2,74,32
66,172,0,0.0,3,128,44
22,194,0,0.0,4,147,47
46,240,0,0.0,5,183,57
47,287,0,0.0,6,217,70
71,358,0,0.0,7,273,85
21,379,0,0.0,8,292,87
26,405,0,0.0,9,317,88
15,420,0,0.0,10,331,89
36,456,0,0.0,11,361,95
29,485,0,0.0,12,382,103
17,502,0,0.0,13,394,108
21,523,0,0.0,14,411,112
23,546,0,0.0,15,429,117
34,580,0,0.0,16,456,124
44,624,0,0.0,17,494,130
14,638,0,0.0,18,506,132
19,657,0,0.0,19,521,136
17,674,0,0.0,20,533,141
31,705,0,0.0,21,558,147
14,719,0,0.0,22,570,149
10,729,0,0.0,23,577,152
19,748,0,0.0,24,592,156
7,755,0,0.0,25,597,158
22,777,0,0.0,26,616,161
50,827,0,0.0,27,659,168
62,889,0,0.0,28,711,178
40,929,0,0.0,29,736,193
19,948,0,0.0,30,750,198
23,971,0,0.0,31,768,203
48,1019,0,0.0,32,809,210
27,1046,0,0.0,33,831,215
20,1066,0,0.0,34,849,217
5,1071,0,0.0,35,854,217
52,1123,0,0.0,36,890,233
30,1153,0,0.0,37,913,240
13,1166,0,0.0,38,925,241
35,1201,0,0.0,39,953,248
18,1219,0,0.0,40,968,251
62,1281,0,0.0,41,1020,261
15,1296,0,0.0,42,1033,263
17,1313,0,0.0,43,1046,267
9,1322,0,0.0,44,1052,270
41,1363,0,0.0,45,1085,278
41,1404,0,0.0,46,1116,288
57,1461,0,0.0,47,1157,304
73,1534,0,0.0,48,1217,317
5,1539,0,0.0,49,1222,317
46,1585,0,0.0,50,1260,325
16,1601,0,0.0,51,1274,327
32,1633,0,0.0,52,1300,333
54,1687,0,0.0,53,1345,342
49,1736,0,0.0,54,1385,351
21,1757,0,0.0,55,1401,356
38,1795,0,0.0,56,1433,362
25,1820,0,0.0,57,1451,369
20,1840,0,0.0,58,1470,370
7,1847,0,0.0,59,1475,372
7,1854,0,0.0,60,1481,373
46,1900,0,0.0,61,1516,384
14,1914,0,0.0,62,1529,385
6,1920,0,0.0,63,1535,385
12,1932,0,0.0,64,1546,386
13,1945,0,0.0,65,1556,389
15,1960,0,0.0,66,1568,392
35,1995,0,0.0,67,1596,399
36,2031,0,0.0,68,1624,407
