iteration,successes,successes_episode,reward_episode,episode_count,random_act,timestep,epsilon
67,67,0,0.0,1,67,0,1.0
40,107,0,0.0,2,106,1,0.9901493354116764
49,156,0,0.0,3,154,2,0.9803966865736877
28,184,0,0.0,4,181,3,0.970741078213023
22,206,0,0.0,5,203,3,0.9611815447608
43,249,0,0.0,6,243,6,0.9517171302557069
38,287,0,0.0,7,279,8,0.9423468882484062
28,315,0,0.0,8,305,10,0.9330698817068888
29,344,0,0.0,9,331,13,0.9238851829227694
98,442,0,0.0,10,426,16,0.9147918734185159
17,459,0,0.0,11,441,18,0.9057890438555999
38,497,0,0.0,12,474,23,0.896875793943563
14,511,0,0.0,13,487,24,0.888051232349986
56,567,0,0.0,14,534,33,0.8793144766113556
10,577,0,0.0,15,543,34,0.8706646530448178
72,649,0,0.0,16,607,42,0.8621008966608072
18,667,0,0.0,17,622,45,0.8536223510765493
13,680,0,0.0,18,635,45,0.8452281684304199
32,712,0,0.0,19,666,46,0.8369175092971592
62,774,0,0.0,20,715,59,0.8286895426039287
71,845,0,0.0,21,770,75,0.820543445547202
47,892,0,0.0,22,810,82,0.8124784035104852
25,917,0,0.0,23,829,88,0.8044936099828537
40,957,0,0.0,24,861,96,0.7965882664783007
12,969,0,0.0,25,872,97,0.7887615824558879
28,997,0,0.0,26,897,100,0.7810127752406908
52,1049,0,0.0,27,933,116,0.7733410699455306
28,1077,0,0.0,28,957,120,0.7657456993934846
29,1106,0,0.0,29,978,128,0.7582259040411682
30,1136,0,0.0,30,1002,134,0.7507809319027796
18,1154,0,0.0,31,1016,138,0.7434100384749007
86,1240,0,0.0,32,1066,174,0.7361124866620463
91,1331,0,0.0,33,1138,193,0.7288875467029541
100,1431,0,0.0,34,1212,219,0.7217344960976069
34,1465,0,0.0,35,1236,229,0.7146526195349836
35,1500,0,0.0,36,1258,242,0.7076412088215263
58,1558,0,0.0,37,1292,266,0.7006995628103208
100,1658,0,0.0,38,1364,294,0.6938269873309811
48,1706,0,0.0,39,1399,307,0.6870227951202322
45,1751,0,0.0,40,1431,320,0.680286305753183
100,1851,0,0.0,41,1498,353,0.6736168455752829
28,1879,0,0.0,42,1516,363,0.6670137476349562
51,1930,0,0.0,43,1554,376,0.6604763516169062
57,1987,0,0.0,44,1593,394,0.6540040037760834
100,2087,0,0.0,45,1661,426,0.64759605687231
75,2162,0,0.0,46,1709,453,0.6412518701055556
44,2206,0,0.0,47,1734,472,0.6349708090518567
100,2306,0,0.0,48,1791,515,0.6287522455998737
100,2406,0,0.0,49,1854,552,0.6225955578880794
65,2471,0,0.0,50,1896,575,0.616500130242572
38,2509,0,0.0,51,1922,587,0.6104653531155071
58,2567,0,0.0,52,1956,611,0.6044906230241432
100,2667,0,0.0,53,2021,646,0.5985753424904925
100,2767,0,0.0,54,2087,680,0.5927189199815717
98,2865,0,0.0,55,2144,721,0.5869207698502498
100,2965,0,0.0,56,2195,770,0.5811803122766818
34,2999,0,0.0,57,2213,786,0.5754969732103268
25,3024,0,0.0,58,2231,793,0.5698701843125418
100,3124,0,0.0,59,2284,840,0.564299382899748
100,3224,0,0.0,60,2341,883,0.558784011887162
100,3324,0,0.0,61,2384,940,0.5533235197330862
75,3399,0,0.0,62,2428,971,0.5479173603837548
100,3499,0,0.0,63,2478,1021,0.5425649932187278
100,3599,0,0.0,64,2530,1069,0.5372658829968282
100,3699,0,0.0,65,2576,1123,0.5320194998026181
43,3742,0,0.0,66,2601,1141,0.5268253189934059
54,3796,0,0.0,67,2626,1170,0.5216828211467822
95,3891,0,0.0,68,2672,1219,0.516591492008677
78,3969,0,0.0,69,2715,1254,0.5115508224419336
89,4058,0,0.0,70,2764,1294,0.5065603083753949
38,4096,0,0.0,71,2783,1313,0.5016194507534953
77,4173,0,0.0,72,2816,1357,0.49672775548635545
46,4219,0,0.0,73,2841,1378,0.491884733400372
100,4319,0,0.0,74,2887,1432,0.48708990018930043
68,4387,0,0.0,75,2922,1465,0.48234277636582407
72,4459,0,0.0,76,2957,1502,0.47764288721360454
95,4554,0,0.0,77,3006,1548,0.47298976273981014
100,4654,0,0.0,78,3049,1605,0.4683829376281158
53,4707,0,0.0,79,3078,1629,0.4638219511921713
100,4807,0,0.0,80,3134,1673,0.4593063473295323
81,4888,0,0.0,81,3169,1719,0.45483567447604933
100,4988,0,0.0,82,3218,1770,0.4504094855607117
37,5025,0,0.0,83,3240,1785,0.44602733796093924
100,5125,0,0.0,84,3284,1841,0.4416887934583202
82,5207,0,0.0,85,3317,1890,0.43739341819478894
37,5244,0,0.0,86,3339,1905,0.43314078262923944
100,5344,0,0.0,87,3386,1958,0.4289304614945713
40,5384,0,0.0,88,3405,1979,0.42476203375516264
100,5484,0,0.0,89,3442,2042,0.42063508256476556
100,5584,0,0.0,90,3486,2098,0.41654919522482203
100,5684,0,0.0,91,3524,2160,0.4125039631431931
100,5784,0,0.0,92,3556,2228,0.40849898179329963
100,5884,0,0.0,93,3600,2284,0.404533850673669
100,5984,0,0.0,94,3641,2343,0.40060817326788506
58,6042,0,0.0,95,3662,2380,0.3967215570049359
100,6142,0,0.0,96,3695,2447,0.3928736132199562
61,6203,0,0.0,97,3722,2481,0.38906395711536096
96,6299,0,0.0,98,3764,2535,0.38529220772236483
27,6326,0,0.0,99,3774,2552,0.3815579878628856
76,6402,0,0.0,100,3800,2602,0.37786092411182526
100,6502,0,0.0,101,3834,2668,0.3742006467597279
66,6568,0,0.0,102,3859,2709,0.3705767897758081
100,6668,0,0.0,103,3893,2775,0.3669889907713475
100,6768,0,0.0,104,3927,2841,0.36343689096345594
100,6868,0,0.0,105,3970,2898,0.35992013513919235
74,6942,0,0.0,106,4005,2937,0.35643837162004377
100,7042,0,0.0,107,4033,3009,0.3529912522267568
