iteration,successes,successes_episode,reward_episode,episode_count,random_act,timestep
13,13,0,0.0,1,8,5
51,64,0,0.0,2,42,22
35,99,0,0.0,3,69,30
9,108,0,0.0,4,76,32
36,144,0,0.0,5,104,40
16,160,0,0.0,6,119,41
100,260,0,0.0,7,197,63
10,270,0,0.0,8,205,65
15,285,0,0.0,9,215,70
17,302,0,0.0,10,228,74
13,315,0,0.0,11,238,77
35,350,0,0.0,12,265,85
32,382,0,0.0,13,295,87
54,436,0,0.0,14,344,92
42,478,0,0.0,15,377,101
63,541,0,0.0,16,425,116
75,616,0,0.0,17,488,128
21,637,0,0.0,18,505,132
55,692,0,0.0,19,549,143
12,704,0,0.0,20,557,147
8,712,0,0.0,21,563,149
25,737,0,0.0,22,583,154
21,758,0,0.0,23,599,159
17,775,0,0.0,24,614,161
18,793,0,0.0,25,628,165
23,816,0,0.0,26,649,167
24,840,0,0.0,27,670,170
58,898,0,0.0,28,717,181
22,920,0,0.0,29,731,189
17,937,0,0.0,30,741,196
19,956,0,0.0,31,756,200
51,1007,0,0.0,32,798,209
72,1079,0,0.0,33,860,219
47,1126,0,0.0,34,892,234
12,1138,0,0.0,35,903,235
6,1144,0,0.0,36,909,235
11,1155,0,0.0,37,915,240
34,1189,0,0.0,38,942,247
37,1226,0,0.0,39,973,253
34,1260,0,0.0,40,1004,256
62,1322,0,0.0,41,1052,270
45,1367,0,0.0,42,1089,278
25,1392,0,0.0,43,1106,286
36,1428,0,0.0,44,1134,294
18,1446,0,0.0,45,1145,301
67,1513,1,1.0,46,1201,312
5,1518,1,0.0,47,1201,317
47,1565,1,0.0,48,1207,358
11,1576,1,0.0,49,1207,369
39,1615,1,0.0,50,1212,403
23,1638,1,0.0,51,1214,424
28,1666,1,0.0,52,1217,449
21,1687,1,0.0,53,1218,469
19,1706,1,0.0,54,1219,487
26,1732,1,0.0,55,1220,512
58,1790,1,0.0,56,1227,563
79,1869,1,0.0,57,1233,636
59,1928,1,0.0,58,1238,690
58,1986,1,0.0,59,1238,748
27,2013,1,0.0,60,1245,768
22,2035,1,0.0,61,1246,789
50,2085,1,0.0,62,1251,834
23,2108,1,0.0,63,1252,856
16,2124,1,0.0,64,1252,872
15,2139,1,0.0,65,1252,887
39,2178,1,0.0,66,1257,921
32,2210,1,0.0,67,1260,950
16,2226,1,0.0,68,1261,965
14,2240,1,0.0,69,1263,977
8,2248,1,0.0,70,1264,984
24,2272,1,0.0,71,1266,1006
14,2286,1,0.0,72,1267,1019
18,2304,1,0.0,73,1268,1036
15,2319,1,0.0,74,1273,1046
18,2337,1,0.0,75,1274,1063
82,2419,1,0.0,76,1287,1132
6,2425,1,0.0,77,1289,1136
18,2443,1,0.0,78,1292,1151
18,2461,1,0.0,79,1293,1168
26,2487,1,0.0,80,1297,1190
45,2532,1,0.0,81,1301,1231
44,2576,1,0.0,82,1307,1269
15,2591,1,0.0,83,1310,1281
7,2598,1,0.0,84,1311,1287
8,2606,1,0.0,85,1311,1295
47,2653,1,0.0,86,1313,1340
17,2670,1,0.0,87,1316,1354
15,2685,1,0.0,88,1318,1367
11,2696,1,0.0,89,1320,1376
22,2718,1,0.0,90,1320,1398
100,2818,1,0.0,91,1329,1489
65,2883,1,0.0,92,1334,1549
20,2903,1,0.0,93,1335,1568
15,2918,1,0.0,94,1337,1581
33,2951,1,0.0,95,1341,1610
61,3012,1,0.0,96,1344,1668
42,3054,1,0.0,97,1347,1707
11,3065,1,0.0,98,1347,1718
9,3074,1,0.0,99,1348,1726
26,3100,1,0.0,100,1350,1750
9,3109,1,0.0,101,1351,1758
34,3143,1,0.0,102,1352,1791
63,3206,1,0.0,103,1358,1848
19,3225,1,0.0,104,1360,1865
15,3240,1,0.0,105,1362,1878
14,3254,1,0.0,106,1362,1892
24,3278,1,0.0,107,1367,1911
21,3299,1,0.0,108,1368,1931
17,3316,1,0.0,109,1369,1947
10,3326,1,0.0,110,1370,1956
48,3374,1,0.0,111,1375,1999
100,3474,1,0.0,112,1386,2088
54,3528,1,0.0,113,1394,2134
8,3536,1,0.0,114,1395,2141
44,3580,1,0.0,115,1402,2178
5,3585,1,0.0,116,1403,2182
51,3636,1,0.0,117,1412,2224
23,3659,1,0.0,118,1415,2244
79,3738,1,0.0,119,1420,2318
13,3751,1,0.0,120,1421,2330
26,3777,1,0.0,121,1422,2355
30,3807,1,0.0,122,1424,2383
22,3829,1,0.0,123,1425,2404
38,3867,1,0.0,124,1428,2439
12,3879,1,0.0,125,1430,2449
21,3900,1,0.0,126,1433,2467
22,3922,1,0.0,127,1433,2489
12,3934,1,0.0,128,1434,2500
14,3948,1,0.0,129,1435,2513
15,3963,1,0.0,130,1437,2526
11,3974,1,0.0,131,1438,2536
22,3996,1,0.0,132,1438,2558
26,4022,1,0.0,133,1438,2584
17,4039,1,0.0,134,1439,2600
58,4097,1,0.0,135,1441,2656
88,4185,1,0.0,136,1446,2739
23,4208,1,0.0,137,1447,2761
56,4264,1,0.0,138,1453,2811
13,4277,1,0.0,139,1454,2823
40,4317,1,0.0,140,1456,2861
12,4329,1,0.0,141,1458,2871
12,4341,1,0.0,142,1459,2882
34,4375,1,0.0,143,1464,2911
10,4385,1,0.0,144,1464,2921
